Feature,Importance
Stability_time_total_exposure,0.26202640437642855
Cell_stack_sequence,0.07314381429076913
Perovskite_composition_long_form,0.036631449101220924
Stability_relative_humidity_average_value,0.02685463330774969
JV_reverse_scan_FF,0.02380444453786769
JV_default_PCE,0.0236636967572153
HTL_stack_sequence,0.02230187193548597
JV_default_Jsc,0.021886831468781294
JV_default_FF,0.021851964838233387
JV_reverse_scan_Jsc,0.021133311710239255
Perovskite_pl_max,0.02083465284983285
JV_reverse_scan_PCE,0.02031854295386884
JV_default_Voc,0.0199613520845988
Cell_area_measured,0.018590401872790787
ETL_stack_sequence,0.01797208406886599
Perovskite_additives_compounds,0.017899258766507498
JV_reverse_scan_Voc,0.017818226737339054
Perovskite_deposition_thermal_annealing_temperature,0.017736726040425938
Perovskite_deposition_thermal_annealing_time,0.017633460675916382
Perovskite_deposition_solvents_mixing_ratios,0.017441486018757543
ETL_thickness,0.014864866403556045
Perovskite_deposition_synthesis_atmosphere,0.013728898399005103
Perovskite_composition_short_form,0.013273482051791722
Backcontact_thickness_list,0.013114919418645926
ETL_deposition_procedure,0.01224388800828783
Perovskite_composition_a_ions,0.011427587854047037
JV_scan_speed,0.011403430127063652
Perovskite_deposition_quenching_media,0.011281748320996925
JV_forward_scan_PCE,0.011278141488664387
JV_forward_scan_FF,0.01117247864249327
HTL_additives_compounds,0.010373817932446619
Perovskite_deposition_solvents,0.01002130532989248
JV_forward_scan_Jsc,0.009813570501009478
Perovskite_thickness,0.009379237933594992
JV_forward_scan_Voc,0.008822695022927644
Perovskite_deposition_procedure,0.00793681364451536
JV_test_atmosphere,0.007708086764924712
Perovskite_band_gap,0.007645618546399127
JV_average_over_n_number_of_cells,0.007410667997200119
Backcontact_stack_sequence,0.006886657283754458
Perovskite_band_gap_estimation_basis,0.005534611529522923
Perovskite_composition_c_ions_coefficients,0.00542242761825058
Perovskite_composition_a_ions_coefficients,0.005263498265079692
JV_default_PCE_scan_direction,0.005213270061885187
Backcontact_deposition_procedure,0.00442673999784832
Perovskite_deposition_aggregation_state_of_reactants,0.0041920062030655104
Encapsulation,0.0034803389662994154
Substrate_stack_sequence,0.003354333103815767
HTL_deposition_procedure,0.0031437982410859227
Perovskite_deposition_quenching_induced_crystallisation,0.0029854277351566154
Perovskite_composition_c_ions,0.002788925552154868
Perovskite_deposition_number_of_deposition_steps,0.002628216675678084
JV_default_Jsc_scan_direction,0.002468695092670855
JV_default_Voc_scan_direction,0.0022666056965645314
JV_default_FF_scan_direction,0.002180795981671429
Perovskite_dimension_list_of_layers,0.0019057409473842116
Perovskite_composition_inorganic,0.0013262898503082615
JV_measured,0.001316725815733488
Perovskite_composition_b_ions_coefficients,0.001310127683017772
Perovskite_dimension_3D_with_2D_capping_layer,0.0012745255828659225
Module_number_of_cells_in_module,0.0010600074487253856
JV_light_masked_cell,0.0009718939067912746
JV_light_spectra,0.0009556147783870209
Perovskite_composition_b_ions,0.0008888453135081474
Perovskite_dimension_2D,0.0006969659918185367
Perovskite_deposition_solvent_annealing,0.0006775808197819854
Module,0.0005183404623182063
Perovskite_dimension_3D,0.00047853774224449185
Perovskite_composition_perovskite_ABC3_structure,0.00038957245434747737
Perovskite_band_gap_graded,0.00029509585931868706
JV_light_intensity,0.00026767360788046825
Cell_semitransparent,0.00022153367620627196
Perovskite_dimension_0D,0.0002069403175643668
Perovskite_composition_perovskite_inspired_structure,0.00018150142557467612
Cell_flexible,0.00016565576253477852
Cell_number_of_cells_per_substrate,0.0001581522609846978
Perovskite_dimension_2D3D_mixture,5.967916631087565e-05
Perovskite_composition_leadfree,2.9531678732540653e-05
Add_lay_back,1.2506627989673325e-06
Perovskite_single_crystal,0.0
Cell_architecture,0.0
JV_light_wavelength_range,0.0
Add_lay_front,0.0
