Feature,Importance
Stability_time_total_exposure,0.2614885
Perovskite_composition_long_form,0.08803417
Cell_stack_sequence,0.064070724
Perovskite_additives_compounds,0.052183967
JV_scan_speed,0.04393055
HTL_stack_sequence,0.043738414
Perovskite_composition_short_form,0.038011525
Perovskite_thickness,0.031037971
Cell_area_measured,0.021915255
JV_test_atmosphere,0.019433837
ETL_deposition_procedure,0.018107232
Perovskite_deposition_solvents,0.01672322
Perovskite_deposition_synthesis_atmosphere,0.015836395
Perovskite_composition_c_ions,0.015369422
JV_forward_scan_PCE,0.012459952
ETL_stack_sequence,0.01241394
Perovskite_band_gap,0.012303157
JV_reverse_scan_Jsc,0.012025449
Stability_relative_humidity_average_value,0.011895792
JV_reverse_scan_PCE,0.011163942
HTL_additives_compounds,0.011104634
JV_forward_scan_Jsc,0.010168744
Perovskite_deposition_thermal_annealing_temperature,0.009806115
JV_reverse_scan_FF,0.009309794
Backcontact_thickness_list,0.008908742
JV_default_Jsc_scan_direction,0.008852226
Perovskite_pl_max,0.008834744
Perovskite_deposition_solvents_mixing_ratios,0.00861849
Perovskite_deposition_procedure,0.008607439
JV_default_PCE_scan_direction,0.00859761
Perovskite_composition_a_ions,0.0072842203
Cell_number_of_cells_per_substrate,0.0071228533
Perovskite_deposition_thermal_annealing_time,0.006731387
JV_reverse_scan_Voc,0.0062330565
Perovskite_deposition_quenching_media,0.0060836137
ETL_thickness,0.005287572
JV_default_Jsc,0.0052151494
JV_forward_scan_FF,0.0051908777
Perovskite_composition_b_ions,0.0051750178
Perovskite_band_gap_estimation_basis,0.0043425173
Perovskite_dimension_3D_with_2D_capping_layer,0.004085751
JV_forward_scan_Voc,0.0039421744
Perovskite_composition_c_ions_coefficients,0.0037110373
HTL_deposition_procedure,0.0034237304
Backcontact_stack_sequence,0.0031996963
Perovskite_dimension_2D,0.002955133
JV_default_PCE,0.002930167
Perovskite_deposition_aggregation_state_of_reactants,0.0028445933
Perovskite_deposition_quenching_induced_crystallisation,0.0025998442
Backcontact_deposition_procedure,0.0019228578
JV_default_Voc_scan_direction,0.0019214606
Perovskite_composition_b_ions_coefficients,0.0018060865
Perovskite_composition_a_ions_coefficients,0.0015225157
JV_average_over_n_number_of_cells,0.0012372682
Perovskite_deposition_number_of_deposition_steps,0.0011764722
Substrate_stack_sequence,0.0010596176
JV_default_FF,0.0010319932
Encapsulation,0.0009957934
Perovskite_deposition_solvent_annealing,0.00093367294
Perovskite_band_gap_graded,0.0006698433
JV_default_Voc,0.00065823394
JV_measured,0.0005298728
Module_number_of_cells_in_module,0.00048387554
JV_light_spectra,0.00032058387
Cell_semitransparent,0.00021598671
Perovskite_composition_inorganic,0.0001284093
JV_light_intensity,7.503997e-05
JV_default_FF_scan_direction,0.0
JV_light_masked_cell,0.0
JV_light_wavelength_range,0.0
Add_lay_back,0.0
Add_lay_front,0.0
Perovskite_composition_perovskite_inspired_structure,0.0
Perovskite_single_crystal,0.0
Perovskite_composition_leadfree,0.0
Cell_architecture,0.0
Perovskite_dimension_2D3D_mixture,0.0
Perovskite_dimension_3D,0.0
Cell_flexible,0.0
Module,0.0
Perovskite_dimension_list_of_layers,0.0
Perovskite_composition_perovskite_ABC3_structure,0.0
Perovskite_dimension_0D,0.0
