,Stability_PCE_T80
Stability_PCE_T80,1.0
Stability_time_total_exposure,0.7591794767382942
HTL_additives_compounds,0.4081311274588377
Cell_stack_sequence,0.4010942027652748
ETL_stack_sequence,0.2940472922885557
Perovskite_composition_long_form,0.29174991592098903
Perovskite_composition_short_form,0.22319692526095042
Perovskite_additives_compounds,0.2227380391105953
Perovskite_deposition_synthesis_atmosphere,0.2077306115237173
HTL_stack_sequence,0.19994671766638628
ETL_deposition_procedure,0.1833959146245589
Perovskite_deposition_solvents_mixing_ratios,0.18181712564393127
Perovskite_pl_max,0.17772920911605333
Perovskite_composition_a_ions,0.17357989213962988
Perovskite_composition_c_ions,0.16207440962177133
Perovskite_deposition_procedure,0.1587864940749797
Perovskite_deposition_solvents,0.15009244923104553
HTL_deposition_procedure,0.12298106779085435
Backcontact_stack_sequence,0.12181532457744168
Perovskite_deposition_quenching_media,0.12034743586274298
Backcontact_deposition_procedure,0.11132447703598469
Perovskite_thickness,0.10655378013089667
JV_forward_scan_PCE,0.10403136643362507
Perovskite_deposition_thermal_annealing_time,0.10160795873348218
JV_default_Voc_scan_direction,0.09714231941200628
JV_default_FF_scan_direction,0.09599019929290493
JV_default_Jsc_scan_direction,0.09448621821681799
Perovskite_band_gap_estimation_basis,0.09195362139913718
JV_default_PCE_scan_direction,0.09179889275421597
JV_forward_scan_FF,0.0858511894602943
JV_forward_scan_Voc,0.07441182659614558
JV_forward_scan_Jsc,0.06930898597777603
JV_test_atmosphere,0.06588394465685973
Cell_area_measured,0.06515158275366434
ETL_thickness,0.06052063999656055
Cell_number_of_cells_per_substrate,0.05817246082628692
Perovskite_deposition_aggregation_state_of_reactants,0.054484399889012596
Perovskite_composition_b_ions,0.05349111137681818
Perovskite_dimension_list_of_layers,0.05331399373963705
Module_number_of_cells_in_module,0.053071117983447734
JV_light_spectra,0.05245970371653634
Module,0.05241916734573851
Substrate_stack_sequence,0.05115297922845931
JV_default_FF,0.04661043889773001
JV_reverse_scan_FF,0.04480002859961037
Backcontact_thickness_list,0.037245366616047396
JV_reverse_scan_PCE,0.036264566212756845
JV_default_Voc,0.035558361139147926
JV_default_PCE,0.03515140311656918
JV_reverse_scan_Voc,0.033600951633595284
Perovskite_band_gap,0.031066502321844693
Perovskite_dimension_2D,0.03090439227074321
Perovskite_deposition_solvent_annealing,0.028234326381493372
Perovskite_dimension_0D,0.025742248543601364
Stability_relative_humidity_average_value,0.017924388191895724
JV_light_intensity,0.0124330058562085
Perovskite_composition_b_ions_coefficients,0.011890715090913806
Perovskite_deposition_thermal_annealing_temperature,0.011399195305762826
JV_light_wavelength_range,0.010772951935433765
JV_default_Jsc,0.009735460266829183
Perovskite_composition_c_ions_coefficients,0.009305929435181695
Perovskite_dimension_2D3D_mixture,0.007507672647704427
JV_reverse_scan_Jsc,0.005412147751905124
JV_light_masked_cell,0.005317861202480985
Perovskite_composition_perovskite_ABC3_structure,0.0045939665488230145
Perovskite_deposition_quenching_induced_crystallisation,0.00430899726462405
Perovskite_composition_perovskite_inspired_structure,0.004081600719486713
Cell_flexible,0.0035179504129099945
Cell_semitransparent,9.548621910965555e-05
Perovskite_composition_a_ions_coefficients,-0.003291793285798665
Perovskite_composition_leadfree,-0.007204251603677869
JV_scan_speed,-0.009056761986048236
Perovskite_dimension_3D_with_2D_capping_layer,-0.009783096036577793
Add_lay_back,-0.012564101137190002
JV_average_over_n_number_of_cells,-0.014177433969653045
Add_lay_front,-0.022507175844863156
Encapsulation,-0.024572933199278987
Perovskite_composition_inorganic,-0.024859324818399992
Perovskite_deposition_number_of_deposition_steps,-0.0317047582810736
Perovskite_dimension_3D,-0.04235480613928642
Perovskite_single_crystal,
Cell_architecture,
