Feature,Importance
Cell_stack_sequence,0.17459771
JV_measured,0.15686634
Stability_time_total_exposure,0.15675782
HTL_thickness_list,0.15428184
HTL_stack_sequence,0.056373592
JV_default_Voc_scan_direction,0.032808967
JV_reverse_scan_FF,0.030412229
JV_test_atmosphere,0.023252359
JV_reverse_scan_Jsc,0.019328
Perovskite_deposition_number_of_deposition_steps,0.019198127
JV_forward_scan_Jsc,0.015885519
JV_default_Jsc,0.013450399
Perovskite_additives_compounds,0.0127124395
ETL_thickness,0.009427231
Perovskite_composition_a_ions,0.0090332655
JV_reverse_scan_Voc,0.008904842
Perovskite_deposition_solvents,0.008867316
Perovskite_composition_long_form,0.0077231526
Perovskite_deposition_quenching_induced_crystallisation,0.007614258
JV_default_PCE_scan_direction,0.006629651
Perovskite_deposition_solvents_mixing_ratios,0.006518298
Perovskite_deposition_thermal_annealing_temperature,0.006028979
Perovskite_band_gap_estimation_basis,0.004387446
JV_default_PCE,0.0043192683
JV_scan_speed,0.003575765
Cell_area_measured,0.0034346876
Perovskite_composition_leadfree,0.0034313009
JV_reverse_scan_PCE,0.0033754956
Perovskite_composition_a_ions_coefficients,0.003338766
Perovskite_deposition_solvent_annealing,0.0031236617
Perovskite_band_gap,0.0029130091
JV_forward_scan_FF,0.0029010964
JV_average_over_n_number_of_cells,0.0028729243
Perovskite_composition_short_form,0.0025097425
HTL_deposition_procedure,0.0024606113
Backcontact_stack_sequence,0.0019804123
JV_hysteresis_index,0.0017756503
JV_default_Voc,0.0014615993
JV_default_FF_scan_direction,0.0013896192
Perovskite_deposition_thermal_annealing_time,0.0013658352
Stability_relative_humidity_average_value,0.0013409245
Perovskite_thickness,0.0012917597
Perovskite_composition_c_ions_coefficients,0.0012144801
Backcontact_thickness_list,0.0011111499
Backcontact_deposition_procedure,0.001086732
Perovskite_deposition_quenching_media,0.0010200856
Substrate_stack_sequence,0.0007854314
JV_forward_scan_Voc,0.00074655784
Perovskite_deposition_synthesis_atmosphere,0.00072122994
ETL_stack_sequence,0.00059941586
ETL_deposition_procedure,0.00051819935
Perovskite_deposition_procedure,0.00048809196
Encapsulation,0.00045703567
JV_default_FF,0.00034276987
Perovskite_dimension_2D,0.00029121287
JV_forward_scan_PCE,0.00018757294
JV_light_spectra,9.457725e-05
Perovskite_band_gap_graded,8.758429e-05
Perovskite_deposition_aggregation_state_of_reactants,6.385203e-05
Perovskite_dimension_3D_with_2D_capping_layer,6.202547e-05
Cell_flexible,6.183202e-05
Perovskite_composition_b_ions_coefficients,5.002491e-05
Cell_semitransparent,4.0336075e-05
Module_number_of_cells_in_module,1.4081797e-05
JV_default_Jsc_scan_direction,1.3199693e-05
Perovskite_composition_inorganic,9.594046e-06
Perovskite_composition_c_ions,8.547915e-06
Add_lay_front,1.8803804e-06
Cell_number_of_cells_per_substrate,6.0704264e-07
Perovskite_single_crystal,0.0
Add_lay_back,0.0
JV_light_wavelength_range,0.0
JV_light_intensity,0.0
JV_light_masked_cell,0.0
Perovskite_dimension_2D3D_mixture,0.0
Perovskite_dimension_0D,0.0
Perovskite_composition_perovskite_ABC3_structure,0.0
Perovskite_dimension_3D,0.0
Cell_architecture,0.0
Perovskite_composition_b_ions,0.0
Module,0.0
Perovskite_composition_perovskite_inspired_structure,0.0
Perovskite_dimension_list_of_layers,0.0
