,Stability_PCE_T80
Stability_PCE_T80,1.0
Cell_stack_sequence,0.5625747300594964
Stability_time_total_exposure,0.5600064697063151
Perovskite_composition_long_form,0.4494179245839873
HTL_stack_sequence,0.4069629772603456
HTL_thickness_list,0.40008845884444905
Perovskite_composition_short_form,0.35377453568196376
Perovskite_composition_a_ions,0.3294712821983502
Perovskite_additives_compounds,0.26732371393522203
ETL_stack_sequence,0.24383268046693882
Perovskite_deposition_solvents_mixing_ratios,0.18887079994470224
JV_test_atmosphere,0.17548425478242174
Perovskite_dimension_2D,0.1717177105890798
Perovskite_composition_b_ions_coefficients,0.1716732492756366
Perovskite_dimension_list_of_layers,0.16613267487276234
Perovskite_composition_c_ions_coefficients,0.16233033069161248
Perovskite_composition_a_ions_coefficients,0.16215612870946963
Perovskite_deposition_solvents,0.1607679595256978
ETL_deposition_procedure,0.14467192442534607
HTL_deposition_procedure,0.14196595281330723
Perovskite_deposition_quenching_media,0.14061704883382095
JV_reverse_scan_PCE,0.12461981125977106
Perovskite_band_gap_estimation_basis,0.12137793152587364
Backcontact_stack_sequence,0.11462617597971546
JV_default_PCE,0.11436316383003926
Perovskite_deposition_synthesis_atmosphere,0.11144652896085375
Backcontact_deposition_procedure,0.10174920219886599
JV_default_Jsc_scan_direction,0.09672630726746308
JV_default_FF_scan_direction,0.09661851568454634
JV_reverse_scan_Voc,0.09635067728104048
Perovskite_deposition_procedure,0.09223945241491413
JV_default_Voc_scan_direction,0.09210818299379198
JV_default_Voc,0.08779834361958634
Perovskite_deposition_aggregation_state_of_reactants,0.07933461326340337
Substrate_stack_sequence,0.074660247486544
Perovskite_composition_b_ions,0.07322278754138253
JV_reverse_scan_FF,0.06841334938585156
JV_default_PCE_scan_direction,0.06585395040188328
JV_default_FF,0.06365474577370021
JV_reverse_scan_Jsc,0.06316193504394652
Encapsulation,0.0629637450660294
ETL_thickness,0.055902349470111724
Add_lay_front,0.05460673176621416
JV_forward_scan_PCE,0.05241283367839087
Perovskite_deposition_number_of_deposition_steps,0.050143459655143566
JV_light_masked_cell,0.049549666748932596
JV_forward_scan_FF,0.049530804044893524
JV_forward_scan_Jsc,0.048180813518103736
JV_default_Jsc,0.04707177259029667
Cell_flexible,0.04627596418962669
Perovskite_band_gap,0.04522850007749046
JV_average_over_n_number_of_cells,0.043885624062341894
JV_forward_scan_Voc,0.042965262415384196
Perovskite_composition_inorganic,0.033023457937936346
JV_light_spectra,0.032878173016573586
Perovskite_composition_c_ions,0.03161442780902145
JV_scan_speed,0.024573398714362732
Perovskite_composition_perovskite_ABC3_structure,0.024266603443079526
Perovskite_composition_perovskite_inspired_structure,0.020609929086756913
Backcontact_thickness_list,0.019905390872917098
Module,0.011328179606079207
Cell_semitransparent,0.005213261049901948
Perovskite_deposition_thermal_annealing_temperature,0.004240050801419977
Perovskite_dimension_3D_with_2D_capping_layer,-0.0004927715585942129
Module_number_of_cells_in_module,-0.006291747340679966
Cell_area_measured,-0.011990338887030954
Add_lay_back,-0.015849544888883862
Perovskite_dimension_2D3D_mixture,-0.02415307453915554
JV_hysteresis_index,-0.03441502084234782
Perovskite_thickness,-0.03846597958326964
Perovskite_deposition_solvent_annealing,-0.041598301288612555
Perovskite_deposition_thermal_annealing_time,-0.043415953011969405
Cell_number_of_cells_per_substrate,-0.04830591225496541
JV_light_intensity,-0.06004851363078627
Perovskite_composition_leadfree,-0.07061072930475978
Stability_relative_humidity_average_value,-0.085895820243751
Perovskite_deposition_quenching_induced_crystallisation,-0.10733185514800038
Perovskite_dimension_3D,-0.15987741515142828
Perovskite_single_crystal,
Perovskite_dimension_0D,
Cell_architecture,
JV_light_wavelength_range,
