Cell_area_measured,Cell_number_of_cells_per_substrate,Module_number_of_cells_in_module,ETL_thickness,Perovskite_single_crystal,Perovskite_dimension_0D,Perovskite_dimension_2D,Perovskite_dimension_2D3D_mixture,Perovskite_dimension_3D,Perovskite_dimension_3D_with_2D_capping_layer,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions_coefficients,Perovskite_composition_inorganic,Perovskite_composition_leadfree,Perovskite_thickness,Perovskite_band_gap,Perovskite_band_gap_graded,Perovskite_deposition_number_of_deposition_steps,Perovskite_deposition_quenching_induced_crystallisation,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,Perovskite_deposition_solvent_annealing,Backcontact_thickness_list,Add_lay_front,Add_lay_back,Encapsulation,JV_measured,JV_average_over_n_number_of_cells,JV_light_intensity,JV_scan_speed,JV_reverse_scan_Voc,JV_reverse_scan_Jsc,JV_reverse_scan_FF,JV_reverse_scan_PCE,JV_forward_scan_Voc,JV_forward_scan_Jsc,JV_forward_scan_FF,JV_forward_scan_PCE,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,Stability_relative_humidity_average_value,Stability_time_total_exposure,Stability_PCE_T80,Cell_stack_sequence,Cell_architecture,Cell_flexible,Cell_semitransparent,Module,Substrate_stack_sequence,ETL_stack_sequence,ETL_deposition_procedure,Perovskite_dimension_list_of_layers,Perovskite_composition_perovskite_ABC3_structure,Perovskite_composition_perovskite_inspired_structure,Perovskite_composition_a_ions,Perovskite_composition_b_ions,Perovskite_composition_c_ions,Perovskite_composition_short_form,Perovskite_composition_long_form,Perovskite_additives_compounds,Perovskite_band_gap_estimation_basis,Perovskite_pl_max,Perovskite_deposition_procedure,Perovskite_deposition_aggregation_state_of_reactants,Perovskite_deposition_synthesis_atmosphere,Perovskite_deposition_solvents,Perovskite_deposition_solvents_mixing_ratios,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_additives_compounds,HTL_deposition_procedure,Backcontact_stack_sequence,Backcontact_deposition_procedure,JV_test_atmosphere,JV_light_spectra,JV_light_wavelength_range,JV_light_masked_cell,JV_default_Voc_scan_direction,JV_default_Jsc_scan_direction,JV_default_FF_scan_direction,JV_default_PCE_scan_direction
0.04,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,1.0,1.0,100.0,10.0,0.0,60.0,0.0,0.0,0.0,True,1,100.0,100.0,1.06,19.2,0.654,13.3,1.01,19.21,0.483,9.4,1.06,19.2,0.654,13.3,34.0,480.0,220.0,266.33408332749076,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,372.65981601368065,244.89737302536716,289.4801098707835,353.695691116183,360.1692635231151,359.8118324089213,288.8109859947663,359.66301289063057,299.0430811274981,279.9189683914859,282.96006414605,325.78971825348646,294.6210215842705,336.5350052359548,361.4192568467163,371.0589672400146,345.1763187985227,234.4261643383033,722.7110215418388,256.8107374646304,350.32356970934876,428.6169162292816,346.2806778141787,378.5800651030406,361.7149680560348,409.53670948944347,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.04,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,1.0,1.0,100.0,10.0,0.0,60.0,0.0,0.0,0.0,True,1,100.0,100.0,1.1,21.53,0.727,17.2,1.04,21.52,0.648,14.5,1.1,21.53,0.727,17.2,34.0,480.0,350.0,266.33408332749076,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,372.65981601368065,244.89737302536716,289.4801098707835,353.695691116183,360.1692635231151,359.8118324089213,288.8109859947663,359.66301289063057,299.0430811274981,279.9189683914859,282.96006414605,325.78971825348646,294.6210215842705,336.5350052359548,361.4192568467163,371.0589672400146,345.1763187985227,234.4261643383033,722.7110215418388,256.8107374646304,350.32356970934876,428.6169162292816,346.2806778141787,378.5800651030406,361.7149680560348,409.53670948944347,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.06,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,1.5,0.0,0.0,400.0,1.59,False,1.0,1.0,120.0,15.0,0.0,80.0,0.0,0.0,0.0,True,1,100.0,100.0,1.08,22.4,0.763,18.45,1.05,21.8,0.6955,15.6,1.08,22.4,0.763,18.45,37.5,5.0,200.0,266.33408332749076,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,372.65981601368065,244.89737302536716,286.72271028774776,353.695691116183,360.1692635231151,359.8118324089213,377.86626208602274,359.66301289063057,441.4431214882308,376.23144261281027,339.14379339681676,325.78971825348646,409.25184994212935,330.6214500258677,361.4192568467163,371.0589672400146,345.1763187985227,407.4073650609664,407.2165256647642,256.8107374646304,350.32356970934876,357.0231625079521,346.2806778141787,378.5800651030406,361.7149680560348,409.53670948944347,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.16,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,1.5,0.0,0.0,500.0,1.6,False,1.0,1.0,110.0,25.0,0.0,100.0,0.0,0.0,0.0,True,1,100.0,10.0,1.11,22.48,0.778,19.43,1.05,21.8,0.6955,15.6,1.11,22.48,0.778,19.43,37.5,700.0,150.0,267.0026692242891,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,372.65981601368065,285.9112467794473,289.4801098707835,353.695691116183,360.1692635231151,359.8118324089213,377.86626208602274,359.66301289063057,441.4431214882308,376.23144261281027,332.63836967866683,325.78971825348646,409.25184994212935,388.39015847973684,361.4192568467163,371.0589672400146,345.1763187985227,407.4073650609664,407.2165256647642,404.17541628380314,350.32356970934876,357.0231625079521,346.2806778141787,378.5800651030406,361.7149680560348,409.53670948944347,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.16,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,3.5,0.0,0.0,500.0,1.26,False,2.0,1.0,85.0,20.0,0.0,100.0,0.0,0.0,0.0,True,1,100.0,100.0,0.77,26.6,0.757,15.5,1.05,21.8,0.6955,15.6,0.77,26.6,0.757,15.5,30.0,40.0,20.0,351.51670833616987,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,309.31816129666936,244.89737302536716,286.72271028774776,343.58216079800025,360.1692635231151,359.8118324089213,315.72426801147714,315.72426801147714,322.27437263709714,315.72426801147714,315.72426801147714,325.78971825348646,409.25184994212935,315.72426801147714,321.05068793732556,326.5106949291719,315.72426801147714,316.67989574470414,315.72426801147714,256.8107374646304,350.32356970934876,357.0231625079521,346.2806778141787,378.5800651030406,361.7149680560348,409.53670948944347,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.1,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,1.0,0.0,85.0,60.0,0.0,70.0,0.0,0.0,0.0,True,30,100.0,100.0,1.03,20.84,0.74,15.92,1.05,21.8,0.6955,15.6,1.03,20.84,0.74,15.92,37.5,1008.0,840.0,266.33408332749076,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,372.65981601368065,244.89737302536716,286.72271028774776,353.695691116183,360.1692635231151,359.8118324089213,288.8109859947663,359.66301289063057,299.0430811274981,279.9189683914859,282.96006414605,290.2725034512465,294.6210215842705,367.6629103537331,361.4192568467163,371.0589672400146,318.054943198218,314.72213297532664,342.009031169516,359.86236194826745,350.32356970934876,304.57573392115046,346.2806778141787,378.5800651030406,361.7149680560348,409.53670948944347,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.1,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,1.0,0.0,85.0,60.0,0.0,70.0,0.0,0.0,0.0,True,30,100.0,100.0,0.98,20.99,0.6779999999999999,14.09,1.05,21.8,0.6955,15.6,0.98,20.99,0.6779999999999999,14.09,37.5,1008.0,120.0,266.33408332749076,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,372.65981601368065,244.89737302536716,286.72271028774776,353.695691116183,360.1692635231151,359.8118324089213,288.8109859947663,359.66301289063057,299.0430811274981,279.9189683914859,282.96006414605,290.2725034512465,294.6210215842705,367.6629103537331,361.4192568467163,371.0589672400146,318.054943198218,314.72213297532664,342.009031169516,359.86236194826745,350.32356970934876,304.57573392115046,346.2806778141787,378.5800651030406,361.7149680560348,409.53670948944347,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.16,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,1.0,1.0,100.0,90.0,0.0,80.0,0.0,0.0,0.0,True,2,100.0,50.0,1.105,22.8,0.75,19.1,1.05,21.8,0.6955,15.6,1.105,22.8,0.75,19.1,50.0,168.0,75.0,459.2898329856235,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,372.65981601368065,438.1947518311728,467.8597903348495,353.695691116183,360.1692635231151,359.8118324089213,288.8109859947663,359.66301289063057,299.0430811274981,279.9189683914859,282.96006414605,325.78971825348646,294.6210215842705,367.6629103537331,361.4192568467163,371.0589672400146,318.054943198218,407.4073650609664,407.2165256647642,404.17541628380314,350.32356970934876,322.880234101442,346.2806778141787,378.5800651030406,361.7149680560348,327.45181518540596,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.1,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,1.0,0.0,95.0,40.0,0.0,80.0,0.0,0.0,0.0,True,12,100.0,100.0,1.01,21.55,0.69,14.92,1.05,21.8,0.6955,15.6,1.01,21.55,0.69,14.92,37.5,200.0,160.0,333.9394544222968,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,372.65981601368065,244.89737302536716,286.72271028774776,353.695691116183,360.1692635231151,359.8118324089213,288.8109859947663,359.66301289063057,299.0430811274981,279.9189683914859,282.96006414605,290.2725034512465,294.6210215842705,367.6629103537331,361.4192568467163,371.0589672400146,345.1763187985227,314.72213297532664,342.009031169516,359.86236194826745,333.9394544222968,304.57573392115046,346.2806778141787,281.1486808543488,361.7149680560348,327.45181518540596,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
0.1,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,400.0,1.6,False,1.0,0.0,95.0,40.0,0.0,80.0,0.0,0.0,0.0,True,12,100.0,100.0,1.02,22.23,0.74,16.74,1.05,21.8,0.6955,15.6,1.02,22.23,0.74,16.74,37.5,200.0,160.0,333.9394544222968,359.95533844857823,360.22652264563897,359.960921230893,356.3707409001549,372.65981601368065,244.89737302536716,286.72271028774776,353.695691116183,360.1692635231151,359.8118324089213,288.8109859947663,359.66301289063057,299.0430811274981,279.9189683914859,282.96006414605,290.2725034512465,294.6210215842705,367.6629103537331,361.4192568467163,371.0589672400146,345.1763187985227,314.72213297532664,342.009031169516,359.86236194826745,333.9394544222968,304.57573392115046,346.2806778141787,281.1486808543488,361.7149680560348,327.45181518540596,366.09810907065554,359.766177958782,359.32518746304595,390.16363885823836,388.9780580870819,389.9518375656836,387.4054160952224
