Cell_area_measured,Cell_number_of_cells_per_substrate,Module_number_of_cells_in_module,ETL_thickness,Perovskite_single_crystal,Perovskite_dimension_0D,Perovskite_dimension_2D,Perovskite_dimension_2D3D_mixture,Perovskite_dimension_3D,Perovskite_dimension_3D_with_2D_capping_layer,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions_coefficients,Perovskite_composition_inorganic,Perovskite_composition_leadfree,Perovskite_thickness,Perovskite_band_gap,Perovskite_band_gap_graded,Perovskite_deposition_number_of_deposition_steps,Perovskite_deposition_quenching_induced_crystallisation,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,Perovskite_deposition_solvent_annealing,Backcontact_thickness_list,Add_lay_front,Add_lay_back,Encapsulation,JV_measured,JV_average_over_n_number_of_cells,JV_light_intensity,JV_scan_speed,JV_reverse_scan_Voc,JV_reverse_scan_Jsc,JV_reverse_scan_FF,JV_reverse_scan_PCE,JV_forward_scan_Voc,JV_forward_scan_Jsc,JV_forward_scan_FF,JV_forward_scan_PCE,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,JV_hysteresis_index,Stability_relative_humidity_average_value,Stability_time_total_exposure,Stability_PCE_T80,Cell_stack_sequence,Cell_architecture,Cell_flexible,Cell_semitransparent,Module,Substrate_stack_sequence,ETL_stack_sequence,ETL_deposition_procedure,Perovskite_dimension_list_of_layers,Perovskite_composition_perovskite_ABC3_structure,Perovskite_composition_perovskite_inspired_structure,Perovskite_composition_a_ions,Perovskite_composition_b_ions,Perovskite_composition_c_ions,Perovskite_composition_short_form,Perovskite_composition_long_form,Perovskite_additives_compounds,Perovskite_band_gap_estimation_basis,Perovskite_deposition_procedure,Perovskite_deposition_aggregation_state_of_reactants,Perovskite_deposition_synthesis_atmosphere,Perovskite_deposition_solvents,Perovskite_deposition_solvents_mixing_ratios,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_thickness_list,HTL_deposition_procedure,Backcontact_stack_sequence,Backcontact_deposition_procedure,JV_test_atmosphere,JV_light_spectra,JV_light_wavelength_range,JV_light_masked_cell,JV_default_Voc_scan_direction,JV_default_Jsc_scan_direction,JV_default_FF_scan_direction,JV_default_PCE_scan_direction
1.02,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,350.0,1.6,False,1.0,1.0,100.0,10.0,0.0,100.0,0.0,0.0,0.0,True,1,100.0,200.0,1.06,19.4,0.7340000000000001,15.1,1.039,20.945,0.73,15.325,1.06,19.4,0.7340000000000001,15.1,0.061403340988090555,50.0,500.0,450.0,369.3192470832115,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,358.2232100790567,369.3192470832115,345.3613583869994,336.3358439849624,355.57365892857143,358.3265523978685,335.4539692671395,369.62085242718445,364.52665052631573,344.76800755667506,342.20796658097686,356.25717777777777,306.7642541254384,351.27948983739833,356.426402020202,330.0230052554816,373.5061576437572,377.66230173302546,284.0106217741735,369.3192470832115,236.03792971328062,364.070342741331,364.17152254641906,359.4077933579336,344.7084436686782,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
0.013,0.0,0.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,200.0,1.6,False,1.0,1.0,100.0,15.0,0.0,100.0,0.0,0.0,0.0,True,8,100.0,100.0,0.87,7.25,0.87,5.47,1.039,20.945,0.73,15.325,0.87,7.25,0.87,5.47,0.061403340988090555,40.0,7.2,0.4,315.1148044970238,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,364.5276597222222,431.57381980802404,509.76876767175816,336.3358439849624,355.57365892857143,358.3265523978685,335.4539692671395,369.62085242718445,364.52665052631573,344.76800755667506,342.20796658097686,356.25717777777777,446.19609437063826,351.27948983739833,356.426402020202,330.0230052554816,289.0715864381542,580.1418343274647,284.0106217741735,348.97459600084943,304.89381333333336,369.6952329059829,365.0123520849844,359.4077933579336,344.7084436686782,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
0.04,0.0,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,3.0,1.0,1.0,104.0,1.96,False,1.0,0.0,100.0,10.0,0.0,100.0,0.0,0.0,0.0,True,1,100.0,100.0,0.77,1.91,0.6709999999999999,0.99,1.039,20.945,0.73,15.325,0.77,1.91,0.6709999999999999,0.99,0.061403340988090555,0.0,312.0,216.0,245.64192753499952,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,364.5276597222222,314.70045703851736,342.90752575643086,300.3614553802846,386.0062361884125,331.84439342911674,338.87386408227,338.87386408227,364.52665052631573,338.87386408227,338.87386408227,356.25717777777777,446.19609437063826,351.27948983739833,356.426402020202,346.28614334472513,375.5440233238308,377.66230173302546,433.444337568111,348.97459600084943,304.89381333333336,369.6952329059829,365.0123520849844,359.4077933579336,344.7084436686782,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
0.11,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,1.5,0.0,0.0,300.0,1.6,False,1.0,1.0,100.0,20.0,0.0,100.0,0.0,0.0,1.0,True,2,100.0,100.0,1.1,22.18,0.75,18.38,1.1,22.06,0.72,17.53,1.1,22.18,0.75,18.38,0.098116435,80.0,2.0,0.5,310.835487857044,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,364.5276597222222,306.6931067738818,197.5943824751403,336.3358439849624,355.57365892857143,358.3265523978685,263.3387155877987,369.62085242718445,331.87284861893477,271.4808126608371,281.1027037822217,356.25717777777777,446.19609437063826,351.27948983739833,356.426402020202,330.0230052554816,318.4299561763053,387.7055509287887,274.49137342147293,289.9775900454918,304.89381333333336,369.6952329059829,364.17152254641906,359.4077933579336,344.7084436686782,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
0.11,0.0,0.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,1.5,0.0,0.0,300.0,1.6,False,1.0,1.0,100.0,20.0,0.0,100.0,0.0,0.0,1.0,True,2,100.0,100.0,1.05,23.35,0.76,18.53,1.06,23.32,0.73,18.0,1.05,23.35,0.76,18.53,0.083349411,80.0,0.83,0.16,294.1473123373449,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,364.5276597222222,220.20684442617707,197.5943824751403,336.3358439849624,355.57365892857143,358.3265523978685,263.3387155877987,369.62085242718445,331.87284861893477,271.4808126608371,281.1027037822217,356.25717777777777,446.19609437063826,351.27948983739833,356.426402020202,330.0230052554816,318.4299561763053,387.7055509287887,274.49137342147293,289.9775900454918,304.89381333333336,369.6952329059829,364.17152254641906,359.4077933579336,344.7084436686782,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
0.11,0.0,0.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,1.5,0.0,0.0,300.0,1.6,False,1.0,1.0,100.0,20.0,0.0,100.0,0.0,0.0,1.0,True,2,100.0,100.0,0.96,21.57,0.75,15.55,0.96,21.06,0.76,15.38,0.96,21.57,0.75,15.55,0.04934468,80.0,2.0,1.16,310.9213594501236,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,364.5276597222222,306.6931067738818,197.5943824751403,336.3358439849624,355.57365892857143,358.3265523978685,263.3387155877987,369.62085242718445,331.87284861893477,271.4808126608371,281.1027037822217,356.25717777777777,446.19609437063826,351.27948983739833,356.426402020202,330.0230052554816,318.4299561763053,387.7055509287887,274.49137342147293,324.5990762245398,304.89381333333336,369.6952329059829,364.17152254641906,359.4077933579336,344.7084436686782,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
0.1,0.0,0.0,21.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,350.0,1.6,False,1.0,1.0,100.0,20.0,0.0,150.0,0.0,0.0,0.0,True,50,100.0,100.0,1.09,21.25,0.7859999999999999,18.21,1.08,21.16,0.774,17.69,1.09,21.25,0.7859999999999999,18.21,0.059521348,40.0,100.0,0.9,310.8875312467892,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,364.5276597222222,310.8875312467892,345.3613583869994,336.3358439849624,355.57365892857143,358.3265523978685,335.4539692671395,369.62085242718445,364.52665052631573,344.76800755667506,342.20796658097686,356.25717777777777,306.7642541254384,351.27948983739833,356.426402020202,330.0230052554816,318.4299561763053,387.7055509287887,284.0106217741735,324.5990762245398,304.89381333333336,369.6952329059829,364.17152254641906,359.4077933579336,326.2160769242485,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
0.25,0.0,0.0,21.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,350.0,1.6,False,1.0,1.0,100.0,10.0,0.0,90.0,0.0,0.0,0.0,True,12,100.0,100.0,0.363,15.747,0.591,3.4,1.039,20.945,0.73,15.325,0.363,15.747,0.591,3.4,0.061403340988090555,50.0,100.0,80.0,308.0605421870081,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,358.2232100790567,431.57381980802404,345.3613583869994,336.3358439849624,355.57365892857143,358.3265523978685,319.39791193225767,247.72621913580247,364.52665052631573,319.39791193225767,319.39791193225767,356.25717777777777,446.19609437063826,351.27948983739833,356.426402020202,346.28614334472513,373.5061576437572,377.66230173302546,274.49137342147293,348.97459600084943,304.89381333333336,369.6952329059829,364.17152254641906,359.4077933579336,326.2160769242485,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
0.25,0.0,0.0,21.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,350.0,1.6,False,1.0,1.0,100.0,10.0,0.0,90.0,0.0,0.0,0.0,True,12,100.0,100.0,0.5920000000000001,18.89,0.623,7.0,1.039,20.945,0.73,15.325,0.5920000000000001,18.89,0.623,7.0,0.061403340988090555,50.0,100.0,100.0,308.0605421870081,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,358.2232100790567,431.57381980802404,345.3613583869994,336.3358439849624,355.57365892857143,358.3265523978685,319.39791193225767,247.72621913580247,364.52665052631573,319.39791193225767,319.39791193225767,323.7812810561623,446.19609437063826,351.27948983739833,356.426402020202,346.28614334472513,373.5061576437572,377.66230173302546,274.49137342147293,348.97459600084943,304.89381333333336,369.6952329059829,364.17152254641906,359.4077933579336,326.2160769242485,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
0.09,0.0,0.0,21.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,350.0,1.6,False,1.0,1.0,80.0,3.5,0.0,100.0,0.0,0.0,0.0,True,30,100.0,100.0,1.04,18.28,0.691,13.14,1.039,20.945,0.73,15.325,1.04,18.28,0.691,13.14,0.061403340988090555,45.0,3024.0,408.0,363.8546911599656,357.2519382716049,361.97074094202895,356.8423817204301,356.7408670212766,358.2232100790567,314.70045703851736,342.90752575643086,336.3358439849624,355.57365892857143,358.3265523978685,335.4539692671395,369.62085242718445,364.52665052631573,344.76800755667506,342.20796658097686,337.9218556034141,306.7642541254384,351.27948983739833,356.426402020202,330.0230052554816,318.4299561763053,213.66530177249186,409.71235202343075,355.93954097538415,304.89381333333336,369.6952329059829,364.17152254641906,359.4077933579336,326.2160769242485,352.88185819521175,357.2519382716049,362.3045634057971,353.3662659574468,355.1366701902748,355.73911513859275,340.0258170731707
